goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkDictSerializeTriggerTTC-10    	  952219	      1321 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  924900	      1325 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1103 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1069 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1075 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1072 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1083 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1071 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1079 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1077 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1073 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10           	 1000000	      1070 ns/op	     768 B/op	      26 allocs/op
PASS
ok  	github.com/fiorix/go-diameter/v4/bench	147.913s
