goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkStaticParse3MSCC-10             	 6400890	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6400677	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6383301	       198.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6347947	       190.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6203875	       188.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4359418	       274.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4375416	       281.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4371691	       274.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4398742	       274.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4407655	       277.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4222285	       287.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4388107	       273.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4396951	       274.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4388632	       273.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse5MSCC-10             	 4415550	       274.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8847651	       136.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8825296	       137.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8774834	       137.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8762972	       136.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8789584	       136.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8731892	       137.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8737142	       137.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8750610	       141.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8515512	       137.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseTriggerTTC-10        	 8810731	       136.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8670062	       147.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 7935116	       140.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8611332	       139.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8646555	       138.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8647178	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8692460	       138.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8666671	       141.8 ns/op	       0 B/op	       0 allocs/op
